                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.74004,                0.56538,                0.94635,                 0.9985,                      1,                  0.995,                0.75329,                 1.0081,                0.55271,                 1.0452,              0.0010694,              0.0010694,              0.0010694
                     50,                 0.7342,                0.58458,                0.93422,                0.99817,                      1,                  0.995,                0.72935,                  1.044,                0.58022,                 1.0654,              0.0010496,              0.0010496,              0.0010496
                     51,                0.77365,                0.60047,                0.98031,                0.97568,                      1,                0.99405,                0.72308,                 1.0295,                0.50447,                 1.0498,              0.0010298,              0.0010298,              0.0010298
                     52,                0.71525,                0.57743,                0.92176,                0.99634,                0.97561,                0.99452,                0.72584,                 1.0757,                 0.5378,                 1.0429,                0.00101,                0.00101,                0.00101
                     53,                0.75336,                0.57879,                0.95202,                      1,                 0.9729,                0.99364,                0.69556,                0.97123,                0.53552,                 1.0287,              0.0009902,              0.0009902,              0.0009902
                     54,                0.72478,                0.56351,                0.95612,                0.99305,                0.97561,                0.98219,                0.69506,                0.94662,                0.56274,                 1.0325,              0.0009704,              0.0009704,              0.0009704
                     55,                0.71989,                0.54682,                0.93099,                0.97557,                0.97409,                0.99028,                0.70715,                  0.967,                0.57302,                 1.0369,              0.0009506,              0.0009506,              0.0009506
                     56,                0.73158,                0.58548,                0.94434,                0.99156,                      1,                  0.995,                0.69291,                  1.026,                0.52131,                 1.0834,              0.0009308,              0.0009308,              0.0009308
                     57,                0.68117,                0.53059,                0.92302,                0.99485,                      1,                  0.995,                0.71171,                  0.999,                0.48237,                 1.0567,               0.000911,               0.000911,               0.000911
                     58,                 0.6818,                0.52434,                0.91408,                 0.9761,                      1,                  0.995,                0.72983,                0.97187,                0.51781,                 1.0351,              0.0008912,              0.0008912,              0.0008912
                     59,                0.64433,                0.50459,                0.92516,                0.97171,                      1,                0.99405,                0.70978,                 1.0106,                0.51749,                 1.0524,              0.0008714,              0.0008714,              0.0008714
                     60,                0.71211,                 0.5438,                0.94003,                0.97391,                0.97561,                0.99358,                0.71168,                 1.0228,                0.51824,                 1.0266,              0.0008516,              0.0008516,              0.0008516
                     61,                0.66058,                0.51194,                 0.9146,                      1,                0.97519,                0.99322,                0.70422,                 1.0221,                0.55106,                 1.0279,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.7054,                0.51152,                0.93813,                0.97344,                0.97561,                0.98842,                0.71388,                 1.0277,                0.58047,                 1.0344,               0.000812,               0.000812,               0.000812
                     63,                0.63396,                0.47422,                0.91014,                      1,                0.97459,                0.98867,                0.72865,                  1.012,                0.56571,                 1.0449,              0.0007922,              0.0007922,              0.0007922
                     64,                0.63385,                0.50368,                0.92945,                0.99824,                0.97561,                0.99364,                0.73147,                 0.9983,                0.48742,                 1.0277,              0.0007724,              0.0007724,              0.0007724
                     65,                0.62224,                0.44318,                0.90464,                      1,                0.99852,                  0.995,                0.72696,                 1.0089,                0.47467,                 1.0372,              0.0007526,              0.0007526,              0.0007526
                     66,                0.61806,                0.46801,                0.92724,                      1,                0.99969,                  0.995,                0.73124,                0.98269,                0.46801,                 1.0436,              0.0007328,              0.0007328,              0.0007328
                     67,                0.61358,                 0.4724,                0.90903,                      1,                0.99634,                  0.995,                0.72603,                 1.0086,                0.48382,                 1.0234,               0.000713,               0.000713,               0.000713
                     68,                0.59784,                 0.4869,                 0.8943,                0.99635,                0.97561,                 0.9914,                0.73355,                0.99116,                 0.5306,                 1.0246,              0.0006932,              0.0006932,              0.0006932
                     69,                0.60246,                0.46262,                0.90457,                      1,                0.99684,                  0.995,                0.74319,                 0.9609,                0.44238,                 1.0043,              0.0006734,              0.0006734,              0.0006734
                     70,                  0.591,                0.46693,                0.90723,                0.99708,                      1,                  0.995,                0.74094,                0.98557,                0.47038,                 1.0258,              0.0006536,              0.0006536,              0.0006536
                     71,                0.56328,                0.45238,                0.89876,                0.99817,                      1,                  0.995,                0.72313,                0.99348,                0.46573,                 1.0306,              0.0006338,              0.0006338,              0.0006338
                     72,                0.58101,                 0.4431,                0.89464,                      1,                0.99888,                  0.995,                0.72492,                 1.0391,                 0.4581,                 1.0536,               0.000614,               0.000614,               0.000614
                     73,                0.54315,                0.42783,                0.87957,                0.99942,                      1,                  0.995,                0.71927,                 1.0445,                0.47611,                 1.0594,              0.0005942,              0.0005942,              0.0005942
                     74,                0.52997,                0.41319,                0.88014,                0.99851,                      1,                  0.995,                0.71375,                 1.0602,                0.47523,                 1.0756,              0.0005744,              0.0005744,              0.0005744
                     75,                0.55161,                0.41811,                0.89819,                0.99824,                      1,                  0.995,                 0.7151,                0.97459,                0.43899,                 1.0322,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.6025,                0.45142,                0.88541,                0.99809,                      1,                  0.995,                 0.7105,                0.92463,                0.41996,                 1.0253,              0.0005348,              0.0005348,              0.0005348
                     77,                0.54354,                0.41671,                0.90184,                0.99849,                      1,                  0.995,                0.73029,                0.94791,                0.41126,                 1.0287,               0.000515,               0.000515,               0.000515
                     78,                0.55269,                0.41482,                0.88722,                0.99952,                      1,                  0.995,                0.73697,                0.95863,                0.43323,                 1.0369,              0.0004952,              0.0004952,              0.0004952
                     79,                0.53213,                0.39787,                0.87655,                      1,                 0.9738,                0.99452,                0.72506,                0.94992,                 0.4638,                 1.0372,              0.0004754,              0.0004754,              0.0004754
                     80,                0.53149,                0.41719,                0.90204,                      1,                0.97478,                0.99452,                0.74002,                0.97495,                0.46445,                 1.0293,              0.0004556,              0.0004556,              0.0004556
                     81,                0.52786,                0.38987,                0.89101,                      1,                0.99516,                  0.995,                0.72777,                0.96995,                0.42975,                  1.031,              0.0004358,              0.0004358,              0.0004358
                     82,                0.50026,                0.38768,                0.85767,                      1,                0.97345,                0.99452,                0.71665,                 1.0013,                0.42978,                 1.0389,               0.000416,               0.000416,               0.000416
                     83,                0.50094,                0.40725,                0.89411,                 0.9969,                0.95122,                0.99268,                0.71174,                 1.0285,                0.46768,                 1.0504,              0.0003962,              0.0003962,              0.0003962
                     84,                0.49409,                0.39008,                 0.8811,                0.99776,                0.95122,                0.99273,                0.70418,                 1.0281,                0.50479,                 1.0487,              0.0003764,              0.0003764,              0.0003764
                     85,                0.54284,                0.40615,                0.86857,                0.99985,                0.97561,                0.99364,                0.69393,                0.98147,                0.47216,                 1.0385,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.5047,                 0.3942,                0.87559,                      1,                0.99833,                  0.995,                0.72343,                0.97454,                0.45497,                 1.0247,              0.0003368,              0.0003368,              0.0003368
                     87,                0.53349,                0.38809,                0.87075,                      1,                0.99863,                  0.995,                 0.7399,                0.99537,                 0.4419,                 1.0267,               0.000317,               0.000317,               0.000317
                     88,                0.51892,                0.36534,                0.85567,                      1,                0.99878,                  0.995,                 0.7416,                0.97993,                0.42447,                  1.019,              0.0002972,              0.0002972,              0.0002972
                     89,                0.48111,                0.37498,                0.87294,                      1,                0.99869,                  0.995,                0.73091,                0.93805,                0.42618,                 1.0124,              0.0002774,              0.0002774,              0.0002774
                     90,                0.49486,                0.39743,                0.87061,                      1,                0.99858,                  0.995,                0.72789,                0.93307,                0.43214,                 1.0173,              0.0002576,              0.0002576,              0.0002576
                     91,                0.47827,                0.41615,                0.85373,                      1,                0.99842,                  0.995,                0.73042,                0.94845,                0.45537,                 1.0279,              0.0002378,              0.0002378,              0.0002378
                     92,                0.45197,                0.38804,                0.86306,                0.99818,                0.97561,                0.97789,                0.72048,                0.97471,                0.50881,                 1.0632,               0.000218,               0.000218,               0.000218
                     93,                0.43687,                 0.3913,                0.85207,                0.99806,                0.97561,                0.97763,                0.71276,                0.97898,                 0.4899,                 1.0682,              0.0001982,              0.0001982,              0.0001982
                     94,                0.45986,                0.40162,                0.84066,                0.99846,                0.97561,                0.97716,                0.71633,                0.96301,                0.48192,                  1.047,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.4429,                0.36846,                0.83738,                0.99817,                0.97561,                0.98195,                0.71887,                0.95421,                0.47492,                 1.0271,              0.0001586,              0.0001586,              0.0001586
                     96,                0.44541,                 0.3728,                0.86119,                0.99773,                0.97561,                0.98991,                0.73489,                0.96653,                 0.4833,                 1.0228,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.4394,                 0.3728,                 0.8373,                0.99761,                0.97561,                0.99283,                0.73401,                0.95199,                0.46648,                 1.0213,               0.000119,               0.000119,               0.000119
                     98,                0.41103,                0.34832,                0.84284,                0.99785,                0.97561,                0.99322,                 0.7368,                0.95198,                0.44442,                 1.0251,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.40982,                0.35233,                0.84247,                0.99811,                0.97561,                0.99322,                0.74638,                0.94584,                0.43002,                 1.0256,               7.94e-05,               7.94e-05,               7.94e-05
